dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,recall_improvement_0,recall_improvement_1,recall_improvement_3,recall_improvement_5,recall_improvement_6,recall_improvement_11,recall_improvement_22,recall_improvement_33,recall_improvement_44,recall_improvement_55,recall_improvement_51,recall_improvement_101,recall_improvement_151,recall_improvement_198,recall_improvement_7,recall_improvement_9,recall_improvement_sum,A_unlearn_acc,A_lipnet_acc,A_r
tinyimg,retrain,resnet18,29.200000161743166,38.72,35.807161390316395,100.0,,,56.0,71.2,,,,,,,,,,,,,,,,,16.399999618530273,22.0,26.80000114440918,32.4,16.80000114440918,23.200000000000003,30.0,44.800000000000004,,,,,0.32602738991520996,,0.27142857142857146,,,,,,,,,0.3414634458370545,0.2089551722559926,0.38095228688247196,0.49333333333333346,,,1.696132809737424,3564.080035705567,6164.72,0.7296805734553586
tinyimg,FT,resnet18,31.520000421142576,37.6,35.927185379855516,100.0,,,57.20000076293945,77.2,,,,,,,,,,,,,,,,,16.399999618530273,12.0,36.400001525878906,35.199999999999996,12.40000057220459,14.799999999999999,35.20000076293945,48.8,,,,,0.192893385076834,,0.34965033164857545,,,,,,,,,-0.2682926659070612,-0.03296707350481177,0.19354833201985203,0.3863636063150144,,,0.6283025305715689,3854.0801144790657,6159.6,0.5982023769717508
tinyimg,FF,resnet18,62.320000073242184,97.52,21.42428485658985,99.6999399879976,,,59.99999917602539,99.6,,,,,,,,,,,,,,,,,52.79999966430664,96.0,74.79999841308594,96.8,69.19999835205078,97.2,54.800000061035156,98.0,,,,,0.5648266990595101,,0.6600000227966311,,,,,,,,,0.818181829741507,0.29411767451408455,0.4046243109067852,0.7883211658914149,,,2.9652450038504226,11486.879683959964,28734.959999999992,1.5015461805632806
tinyimg,GA,resnet18,44.56000041503906,98.8,32.48649727275167,99.45989197839567,,,43.20000076293945,99.2,,,,,,,,,,,,,,,,,38.400001525878906,97.6,54.400001525878906,98.8,38.79999923706055,99.2,48.0,99.2,,,,,1.2172351678581865,,1.2962962557422453,,,,,,,,,1.5416665656699113,0.8161764196458586,1.5567010812012405,1.0666666666666667,,,6.277506988925922,5830.400160217287,29323.84,4.029472968268299
tinyimg,IU,resnet18,14.96,98.56,23.42468493364887,99.77995599119825,,,23.600000381469727,98.8,,,,,,,,,,,,,,,,,5.599999904632568,97.6,9.600000381469727,98.0,36.0,100.0,0.0,98.4,,,,,5.588235294117647,,3.186440610296595,,,,,,,,,16.428571725378234,9.208332927690629,1.7777777777777777,inf,,,inf,544.2400164222718,29165.519999999997,52.58944421567614
tinyimg,FT_prune,resnet18,25.35999998168945,42.24,32.14642928662026,100.0,,,40.799998809814454,72.8,,,,,,,,,,,,,,,,,13.999999572753905,13.600000000000001,27.59999938964844,43.6,14.399999839782716,21.6,29.99999905395508,59.599999999999994,,,,,0.6656151431584515,,0.7843137775407957,,,,,,,,,-0.02857139892578019,0.5797101798615426,0.5000000166893007,0.9866667293158654,,,2.822119304481724,2337.839871252443,6725.44,1.876775301294268
tinyimg,retrain,vgg16,38.7200003112793,54.48,49.68993796852022,100.0,,,60.0,76.8,,,,,,,,,,,,,,,,,31.200000762939453,42.0,44.0,59.599999999999994,23.200000762939453,38.800000000000004,35.20000076293945,55.2,,,,,0.4070247820770224,,0.27999999999999997,,,,,,,,,0.3461538132360944,0.35454545454545444,0.6724137381055854,0.5681817841923935,,,2.221294790079528,5397.120101623535,10160.32,0.8825447291683617
tinyimg,FT,vgg16,41.04000006103516,47.199999999999996,47.649529825856526,99.95999199839967,,,63.20000076293945,74.4,,,,,,,,,,,,,,,,,28.399999618530273,31.2,47.60000228881836,48.4,27.600000381469727,29.2,38.400001525878906,52.800000000000004,,,,,0.15009746417650133,,0.17721517566228012,,,,,,,,,0.09859156405209235,0.016806673796517135,0.05797099987014823,0.3749999453624112,,,0.7255843587434491,5970.720202331544,8125.040000000001,0.3608140600571441
tinyimg,FF,vgg16,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
tinyimg,GA,vgg16,34.87999999694824,98.8,44.9089817791897,99.83996799359872,,,36.400001525878906,99.2,,,,,,,,,,,,,,,,,35.20000076293945,98.0,39.20000076293945,99.2,30.80000114440918,99.2,32.79999923706055,98.4,,,,,1.8325688075872795,,1.7252746110318946,,,,,,,,,1.784090848747365,1.5306121956453091,2.2207791011074947,2.0000000697810494,,,9.260756826313113,3698.8001770019546,29323.52,6.927846489876629
tinyimg,IU,vgg16,13.920000018310548,97.92,39.64792955730123,99.91998399679936,,,47.60000228881836,98.4,,,,,,,,,,,,,,,,,5.200000286102295,98.0,0.0,100.0,15.199999809265137,99.2,1.600000023841858,94.0,,,,,6.034482749367441,,1.0672267913549027,,,,,,,,,17.8461528092447,inf,5.526315871368156,57.749999124556794,,,inf,1306.8801241350204,28810.08,21.044929345810058
tinyimg,FT_prune,vgg16,36.16000042114258,49.28,44.10882176435287,100.0,,,58.79999923706055,82.39999999999999,,,,,,,,,,,,,,,,,28.80000114440918,32.0,48.79999923706055,54.400000000000006,23.600000381469727,36.0,20.80000114440918,41.6,,,,,0.362831842534665,,0.4013605624005655,,,,,,,,,0.11111106695952415,0.11475411578872748,0.5254237041566541,0.9999998899606619,,,2.152649339266133,4710.960038223266,9025.599999999999,0.9158727577328369
fmnist,retrain,resnet18,95.82222222674335,96.32592592592593,91.54,99.96000000000001,,,98.6666668927228,98.33333333333333,90.0000001695421,92.03703703703704,97.70370370370371,98.14814814814815,,,,,,,,,,,,,,,,,,,,,95.55555555555556,96.07407407407408,97.18518546775535,97.03703703703704,0.005256648066360537,,-0.0033783806617476626,0.022633742929528453,0.004548900682335086,,,,,,,,,,,0.005426356589147292,-0.001524393147013766,0.0277062263922494,27810.049470264657,28023.61454046639,0.007679420722716879
fmnist,FT,resnet18,96.22962964997468,96.84444444444445,91.48,99.97,,,98.48148170753761,98.66666666666667,91.11111116762514,92.77777777777779,98.18518518518519,98.62962962962963,,,,,,,,,,,,,,,,,,,,,96.51851863154658,97.03703703703704,96.85185207790799,97.11111111111111,0.006389038352387832,,0.0018804038679983268,0.01829268229520692,0.004526593738211979,,,,,,,,,,,0.005372216781215484,0.0026768619044535485,0.03274875858708626,27989.96030160619,28307.777091906722,0.011354670991880589
fmnist,FF,resnet18,74.02222216796875,90.02222222222223,55.89,99.22,,,97.25925931577329,99.51851851851852,10.51851853971128,57.77777777777777,84.70370398627387,98.85185185185185,,,,,,,,,,,,,,,,,,,,,77.70370364718967,95.07407407407408,99.92592592592592,98.88888888888889,0.21615130680549974,,0.023229245406959677,4.492957735411635,0.1670310411439702,,,,,,,,,,,0.2235462353989435,-0.010378057820607868,4.896386199540901,17719.235957436238,25003.31412894376,0.41108308445153985
fmnist,GA,resnet18,77.3333332949038,96.57777777777777,80.2,99.92999999999999,,,88.77777772126375,99.22222222222223,72.40740746392144,92.22222222222223,80.6296299121998,98.59259259259258,,,,,,,,,,,,,,,,,,,,,88.48148176405165,99.0,56.37037053991247,93.85185185185185,0.24885057533323948,,0.11764705953499967,0.2736572880084671,0.22278364293564568,,,,,,,,,,,0.11887818813881826,0.664914581063486,1.3978807596814167,18637.122138292605,28226.08024691358,0.514508518937004
fmnist,IU,resnet18,46.15555553294994,81.23703703703704,63.29,98.66,,,90.81481481481481,98.88888888888889,50.66666675143772,83.2962962962963,41.59259267736364,90.0,,,,,,,,,,,,,,,,,,,,,0.8518518527348836,38.77777777777778,46.851851823594835,95.22222222222221,0.7600706155306227,,0.08890701468189235,0.6440058452026093,1.163846834414379,,,,,,,,,,,44.521739083246835,1.0324110684194516,47.450909845965164,9643.078195840144,21055.84156378601,1.1835186997518212
fmnist,FT_prune,resnet18,70.7777777822989,84.52592592592593,66.87,98.52,,,85.88888900191695,92.85185185185185,37.74074071248372,63.03703703703704,86.48148176405165,89.77777777777777,,,,,,,,,,,,,,,,,,,,,65.74074076899775,85.70370370370371,78.03703731960721,91.25925925925927,0.1942438513104231,,0.0810694250542639,0.6702649669031513,0.038115628299702824,,,,,,,,,,,0.30366197127063954,0.16943521171234813,1.2625472032401057,15700.185237368569,22061.51646090535,0.4051755522218905
fmnist,retrain,vgg16,96.14814813684534,96.63703703703703,92.93,99.97,,,98.77777772126375,98.81481481481481,89.5925925925926,91.55555555555556,98.11111111111111,98.25925925925925,,,,,,,,,,,,,,,,,,,,,97.07407424361618,97.18518518518519,97.18518529821326,97.37037037037038,0.0050847458808657734,,0.0003749537032061679,0.021909880115750298,0.0015100037750093356,,,,,,,,,,,0.0011445995486927488,0.0019054866396445503,0.026844923782303104,27977.389591523683,28220.765432098768,0.008699018890912624
fmnist,FT,vgg16,96.940740713614,97.27407407407408,92.71,99.95,,,98.6666668927228,98.92592592592592,92.59259287516277,93.2962962962963,98.85185179533782,98.92592592592592,,,,,,,,,,,,,,,,,,,,,97.18518546775535,97.74074074074073,97.40740752043547,97.48148148148148,0.003438527063093317,,0.0026276253304979525,0.007599996925048877,0.0007493448958494394,,,,,,,,,,,0.005716460490469635,0.0007604551125177086,0.01745388275438361,28354.109844489285,28542.817558299037,0.006655391928885646
fmnist,FF,vgg16,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
fmnist,GA,vgg16,27.696296297426578,51.022222222222226,56.11,95.04,,,5.518518532647027,29.40740740740741,90.40740768997757,96.92592592592592,27.777777791906285,62.40740740740741,,,,,,,,,,,,,,,,,,,,,14.111111153496637,45.666666666666664,0.6666666666666666,20.703703703703706,0.8422037977317203,,4.328859046759742,0.07210159435498317,1.2466666655239533,,,,,,,,,,,2.2362204627203135,30.055555555555557,37.93940332491455,1722.873806492422,7084.140603566529,3.1118163018503626
fmnist,IU,vgg16,27.429629600242333,75.97037037037036,58.13,98.44000000000001,,,0.037037037037037035,19.25925925925926,19.29629630336055,77.0,20.851851880108867,93.7037037037037,,,,,,,,,,,,,,,,,,,,,33.48148148148148,92.74074074074075,63.48148148148148,97.14814814814815,1.769646235751546,,519.0,2.990403069556413,3.493783297640347,,,,,,,,,,,1.769911504424779,0.5303383897316221,527.7844362613532,1614.5178334669158,14319.905349794239,7.869462481590903
fmnist,FT_prune,vgg16,53.207407404016564,67.25185185185185,59.51,95.67999999999999,,,83.77777789080585,94.33333333333334,48.925926038953996,65.96296296296296,46.5185184902615,77.5925925925926,,,,,,,,,,,,,,,,,,,,,0.7407407407407407,3.5925925925925926,86.0740743001302,94.77777777777779,0.26395656419025393,,0.1259946934410862,0.3482210415484904,0.6679936315864478,,,,,,,,,,,3.8500000000000005,0.10111875786544954,5.0933281244414745,10351.447221242122,14899.740740740745,0.43938721053082364
